EPOCH 0 , FILE 130 , LOSS 3.1375361327712454 , TIME 31.148900747299194
EPOCH 0 , FILE 131 , LOSS 2.819560160105625 , TIME 31.275700330734253
EPOCH 0 , FILE 132 , LOSS 3.330679158608842 , TIME 31.482019662857056
EPOCH 0 , FILE 133 , LOSS 3.2703474516879556 , TIME 31.72125482559204
EPOCH 0 , FILE 134 , LOSS 2.8843903218242755 , TIME 32.02549362182617
EPOCH 0 , FILE 135 , LOSS 3.285365799982293 , TIME 32.19267749786377
EPOCH 0 , FILE 136 , LOSS 3.4654088568492787 , TIME 32.32538866996765
EPOCH 0 , FILE 137 , LOSS 2.9631035764123994 , TIME 32.66760969161987
EPOCH 0 , FILE 138 , LOSS 2.9813905358099575 , TIME 32.97207689285278
EPOCH 0 , FILE 139 , LOSS 2.807211158649842 , TIME 33.289403676986694
EPOCH 0 , FILE 140 , LOSS 3.002196978818523 , TIME 33.55020022392273
EPOCH 0 , FILE 141 , LOSS 2.937451060874285 , TIME 33.79648971557617
EPOCH 0 , FILE 142 , LOSS 3.3026118327042333 , TIME 34.10437059402466
EPOCH 0 , FILE 143 , LOSS 3.333254759473287 , TIME 34.17843794822693
EPOCH 0 , FILE 144 , LOSS 2.9449741486661405 , TIME 34.3850154876709
EPOCH 0 , FILE 145 , LOSS 3.0087692697154096 , TIME 34.69987678527832
EPOCH 0 , FILE 146 , LOSS 3.174354252156481 , TIME 34.862964391708374
EPOCH 0 , FILE 147 , LOSS 2.9994476802511354 , TIME 35.073917865753174
EPOCH 0 , FILE 148 , LOSS 2.9474324018957074 , TIME 35.32950973510742
EPOCH 0 , FILE 149 , LOSS 3.0327534802671603 , TIME 35.5887176990509
EPOCH 0 , FILE 150 , LOSS 3.041939350489403 , TIME 35.918917655944824
EPOCH 0 , FILE 151 , LOSS 2.9414055681702362 , TIME 36.203606605529785
EPOCH 0 , FILE 152 , LOSS 2.7917046690567395 , TIME 36.53782820701599
EPOCH 0 , FILE 153 , LOSS 3.2587975238444984 , TIME 36.72839021682739
EPOCH 0 , FILE 154 , LOSS 2.9014741799050126 , TIME 36.973917722702026
EPOCH 0 , FILE 155 , LOSS 2.993193834245477 , TIME 37.30544662475586
EPOCH 0 , FILE 156 , LOSS 2.928750002382625 , TIME 37.59595823287964
EPOCH 0 , FILE 157 , LOSS 3.44258645356027 , TIME 37.72455310821533
EPOCH 0 , FILE 158 , LOSS 3.041633633360585 , TIME 38.02464580535889
EPOCH 0 , FILE 159 , LOSS 2.594125625258944 , TIME 38.167155742645264
EPOCH 0 , FILE 160 , LOSS 2.8354531074282243 , TIME 38.497883319854736
EPOCH 0 , FILE 161 , LOSS 3.015866667321492 , TIME 38.659077167510986
EPOCH 0 , FILE 162 , LOSS 3.248893724518447 , TIME 39.0021448135376
EPOCH 0 , FILE 163 , LOSS 3.1834410605674552 , TIME 39.17129158973694
EPOCH 0 , FILE 164 , LOSS 3.3291178287635086 , TIME 39.31723690032959
EPOCH 0 , FILE 165 , LOSS 3.349924561175718 , TIME 39.460144996643066
EPOCH 0 , FILE 166 , LOSS 2.842320877621262 , TIME 39.555280685424805
EPOCH 0 , FILE 167 , LOSS 3.1345618522398997 , TIME 39.850157022476196
EPOCH 0 , FILE 168 , LOSS 2.8142505978918946 , TIME 40.14956259727478
EPOCH 0 , FILE 169 , LOSS 2.8958563697455686 , TIME 40.28566384315491
EPOCH 0 , FILE 170 , LOSS 2.9177960163732832 , TIME 40.49744129180908
EPOCH 0 , FILE 171 , LOSS 2.7552005958513033 , TIME 40.82443118095398
EPOCH 0 , FILE 172 , LOSS 2.951344580538755 , TIME 41.0200879573822
EPOCH 0 , FILE 173 , LOSS 3.0444312976138748 , TIME 41.23537492752075
EPOCH 0 , FILE 174 , LOSS 2.900064487147784 , TIME 41.37225961685181
EPOCH 0 , FILE 175 , LOSS 2.861996742666948 , TIME 41.532986879348755
EPOCH 0 , FILE 176 , LOSS 3.034125993505746 , TIME 41.617597818374634
EPOCH 0 , FILE 177 , LOSS 3.1023057614481515 , TIME 41.78384613990784
EPOCH 0 , FILE 178 , LOSS 3.2824483073377064 , TIME 41.871657609939575
EPOCH 0 , FILE 179 , LOSS 2.63104447637379 , TIME 42.094841718673706
EPOCH 0 , FILE 180 , LOSS 2.903093426790896 , TIME 42.4048228263855
EPOCH 0 , FILE 181 , LOSS 2.9203290810580644 , TIME 42.72119903564453
EPOCH 0 , FILE 182 , LOSS 2.4224662353482826 , TIME 42.834843158721924
EPOCH 0 , FILE 183 , LOSS 2.924793539954176 , TIME 43.03207278251648
EPOCH 0 , FILE 184 , LOSS 2.8381444889355 , TIME 43.336881160736084
EPOCH 0 , FILE 185 , LOSS 3.009423885366784 , TIME 43.66014289855957
EPOCH 0 , FILE 186 , LOSS 2.9179869559981633 , TIME 43.946691036224365
EPOCH 0 , FILE 187 , LOSS 2.863205198519999 , TIME 44.14551043510437
EPOCH 0 , FILE 188 , LOSS 2.761571335538778 , TIME 44.28775954246521
EPOCH 0 , FILE 189 , LOSS 2.651066067090528 , TIME 44.440364599227905
EPOCH 0 , FILE 190 , LOSS 2.7183824010644644 , TIME 44.73364067077637
EPOCH 0 , FILE 191 , LOSS 2.949352880375042 , TIME 45.000285148620605
EPOCH 0 , FILE 192 , LOSS 2.734307963041007 , TIME 45.34174680709839
EPOCH 0 , FILE 193 , LOSS 2.8466106528652397 , TIME 45.64640140533447
EPOCH 0 , FILE 194 , LOSS 3.0046828575864555 , TIME 45.89697813987732
EPOCH 0 , FILE 195 , LOSS 2.642607495210204 , TIME 46.10682415962219
EPOCH 0 , FILE 196 , LOSS 2.6086762339975182 , TIME 46.442403078079224
EPOCH 0 , FILE 197 , LOSS 2.949932033969151 , TIME 46.54265761375427
EPOCH 0 , FILE 198 , LOSS 2.7303814697765327 , TIME 46.69051742553711
EPOCH 0 , FILE 199 , LOSS 2.4006686261096073 , TIME 46.801732540130615
EPOCH 0 , FILE 200 , LOSS 2.967373670174506 , TIME 47.122743368148804
EPOCH 0 , FILE 201 , LOSS 2.663666405772532 , TIME 47.434895277023315
EPOCH 0 , FILE 202 , LOSS 2.5842742703248653 , TIME 47.71293616294861
EPOCH 0 , FILE 203 , LOSS 2.937251253557121 , TIME 48.00793266296387
EPOCH 0 , FILE 204 , LOSS 3.454045231439932 , TIME 48.29950785636902
EPOCH 0 , FILE 205 , LOSS 2.8470605352963005 , TIME 48.46889328956604
EPOCH 0 , FILE 206 , LOSS 2.833837714863812 , TIME 48.67776536941528
EPOCH 0 , FILE 207 , LOSS 2.537756998414421 , TIME 48.93636775016785
EPOCH 0 , FILE 208 , LOSS 3.2538375185291524 , TIME 49.256744623184204
EPOCH 0 , FILE 209 , LOSS 2.8065056669324933 , TIME 49.395819664001465
EPOCH 0 , FILE 210 , LOSS 2.6829855895472168 , TIME 49.65958261489868
EPOCH 0 , FILE 211 , LOSS 2.9285173452872333 , TIME 49.94898748397827
EPOCH 0 , FILE 212 , LOSS 2.9469188843345386 , TIME 50.10870027542114
EPOCH 0 , FILE 213 , LOSS 2.4615114166686407 , TIME 50.36112833023071
EPOCH 0 , FILE 214 , LOSS 2.4669804407945204 , TIME 50.67288422584534
EPOCH 0 , FILE 215 , LOSS 2.7830284732058224 , TIME 50.982141733169556
EPOCH 0 , FILE 216 , LOSS 2.6832393606499996 , TIME 51.23926639556885
EPOCH 0 , FILE 217 , LOSS 2.62043974791721 , TIME 51.45279574394226
EPOCH 0 , FILE 218 , LOSS 2.8075195111953133 , TIME 51.72104501724243
EPOCH 0 , FILE 219 , LOSS 2.817286528897043 , TIME 51.86958026885986
EPOCH 0 , FILE 220 , LOSS 2.7840784122583915 , TIME 52.104233503341675
EPOCH 0 , FILE 221 , LOSS 2.4627882273838746 , TIME 52.36948037147522
EPOCH 0 , FILE 222 , LOSS 2.1696512276845175 , TIME 52.60694742202759
EPOCH 0 , FILE 223 , LOSS 2.8966230753412323 , TIME 52.71580767631531
EPOCH 0 , FILE 224 , LOSS 2.52878338078907 , TIME 53.00472807884216
EPOCH 0 , FILE 225 , LOSS 2.7446962742787258 , TIME 53.25505566596985
EPOCH 0 , FILE 226 , LOSS 2.625406203117725 , TIME 53.535924673080444
EPOCH 0 , FILE 227 , LOSS 3.109057218477633 , TIME 53.7316792011261
EPOCH 0 , FILE 228 , LOSS 2.5309894766422922 , TIME 53.96894574165344
EPOCH 0 , FILE 229 , LOSS 2.7351162053547733 , TIME 54.0098295211792
EPOCH 0 , FILE 230 , LOSS 2.5728571205610167 , TIME 54.33486080169678
EPOCH 0 , FILE 231 , LOSS 2.5040255636934825 , TIME 54.44543385505676
EPOCH 0 , FILE 232 , LOSS 2.4522191840766454 , TIME 54.71643543243408
EPOCH 0 , FILE 233 , LOSS 3.2721891431740926 , TIME 54.88849496841431
EPOCH 0 , FILE 234 , LOSS 2.4017385237844042 , TIME 55.03824496269226
EPOCH 0 , FILE 235 , LOSS 2.7234394261303274 , TIME 55.13463592529297
EPOCH 0 , FILE 236 , LOSS 2.544733710721365 , TIME 55.35163378715515
EPOCH 0 , FILE 237 , LOSS 2.9458181208699448 , TIME 55.68185997009277
EPOCH 0 , FILE 238 , LOSS 2.5200326927843477 , TIME 55.87955164909363
EPOCH 0 , FILE 239 , LOSS 2.698230573019334 , TIME 56.26247048377991
EPOCH 0 , FILE 240 , LOSS 2.682146655009112 , TIME 56.503127336502075
EPOCH 0 , FILE 241 , LOSS 2.6944925174473098 , TIME 56.60860300064087
EPOCH 0 , FILE 242 , LOSS 2.612099184862862 , TIME 56.783573150634766
EPOCH 0 , FILE 243 , LOSS 2.6992195232119176 , TIME 57.10354137420654
EPOCH 0 , FILE 244 , LOSS 2.63361347423988 , TIME 57.33081579208374
EPOCH 0 , FILE 245 , LOSS 2.9923371095626874 , TIME 57.42279863357544
EPOCH 0 , FILE 246 , LOSS 2.671989259285677 , TIME 57.70013880729675
EPOCH 0 , FILE 247 , LOSS 2.7156285273037404 , TIME 58.015852212905884
EPOCH 0 , FILE 248 , LOSS 2.5639590553928415 , TIME 58.243608236312866
EPOCH 0 , FILE 249 , LOSS 2.8874969969674478 , TIME 58.379565715789795
EPOCH 0 , FILE 250 , LOSS 2.438072610331739 , TIME 58.56403088569641
EPOCH 0 , FILE 251 , LOSS 3.451799031236484 , TIME 58.65772533416748
EPOCH 0 , FILE 252 , LOSS 2.510428378055483 , TIME 58.78191375732422
EPOCH 0 , FILE 253 , LOSS 2.165877981689499 , TIME 59.12048387527466
EPOCH 0 , FILE 254 , LOSS 2.2863495162706844 , TIME 59.42438578605652
EPOCH 0 , FILE 255 , LOSS 2.4375979678029696 , TIME 59.6229932308197
EPOCH 0 , FILE 256 , LOSS 2.6776565614151364 , TIME 59.87315559387207
EPOCH 0 , FILE 257 , LOSS 2.5986033240569886 , TIME 60.116583824157715
EPOCH 0 , FILE 258 , LOSS 2.691231878385018 , TIME 60.410478353500366
EPOCH 0 , FILE 259 , LOSS 2.985417078488665 , TIME 60.763553857803345
EPOCH 0 , FILE 260 , LOSS 2.8397242529296287 , TIME 60.861494064331055
EPOCH 0 , FILE 261 , LOSS 2.2942671148181715 , TIME 61.04292845726013
EPOCH 0 , FILE 262 , LOSS 2.629994191764101 , TIME 61.38257598876953
EPOCH 0 , FILE 263 , LOSS 2.7507536428448893 , TIME 61.66805911064148
EPOCH 0 , FILE 264 , LOSS 2.5405636505948435 , TIME 61.806235551834106
EPOCH 0 , FILE 265 , LOSS 2.7662121153400916 , TIME 62.051482915878296
EPOCH 0 , FILE 266 , LOSS 2.466655541320277 , TIME 62.406851291656494
EPOCH 0 , FILE 267 , LOSS 2.1223829776002927 , TIME 62.48994255065918
EPOCH 0 , FILE 268 , LOSS 2.6764138056016216 , TIME 62.74250674247742
EPOCH 0 , FILE 269 , LOSS 2.9743276277042243 , TIME 62.814526081085205
EPOCH 0 , FILE 270 , LOSS 2.492973543534294 , TIME 63.10228753089905
EPOCH 0 , FILE 271 , LOSS 2.5687272055205974 , TIME 63.42938041687012
EPOCH 0 , FILE 272 , LOSS 2.60618530705156 , TIME 63.75703430175781
EPOCH 0 , FILE 273 , LOSS 2.4748114187087102 , TIME 64.02021884918213
EPOCH 0 , FILE 274 , LOSS 2.5211834773495547 , TIME 64.1317732334137
EPOCH 0 , FILE 275 , LOSS 2.7175614587881114 , TIME 64.26238942146301
EPOCH 0 , FILE 276 , LOSS 2.634694494176403 , TIME 64.39536118507385
EPOCH 0 , FILE 277 , LOSS 2.7569592712000652 , TIME 64.56126046180725
EPOCH 0 , FILE 278 , LOSS 2.455442193836315 , TIME 64.700510263443
EPOCH 0 , FILE 279 , LOSS 2.6461876580999855 , TIME 64.94753408432007
EPOCH 0 , FILE 280 , LOSS 2.301096930275008 , TIME 65.2175190448761
EPOCH 0 , FILE 281 , LOSS 2.8183568503230925 , TIME 65.2808084487915
EPOCH 0 , FILE 282 , LOSS 2.535854181428645 , TIME 65.55448913574219
EPOCH 0 , FILE 283 , LOSS 2.437131423440458 , TIME 65.89516139030457
EPOCH 0 , FILE 284 , LOSS 1.968769324771244 , TIME 65.96073698997498
EPOCH 0 , FILE 285 , LOSS 2.626841559176633 , TIME 66.22376871109009
EPOCH 0 , FILE 286 , LOSS 2.323041081938962 , TIME 66.30665302276611
EPOCH 0 , FILE 287 , LOSS 2.360741440081789 , TIME 66.43982291221619
